personid,gender,birthmonth,birthyear,highestgradecompleted,maritalstatus,childathome,childnotathome,wageincome,weeklyhrscomputer,weeklyhrstv,nightlyhrssleep,satverbal,satmath,gpaoverall,gpaenglish,gpamath,gpascience,highestdegree,govprovidejobs,govpricecontrols,weeksworked17
252238,Male,6,1984,13,Divorced,1,0,60000,None,3 to 10 hours a week,6,,,274,233,200,225,2. High School,4. Definitely not,2. Probably ,40
252417,Female,8,1982,10,Married,5,0,10500,None,11 to 20 hours a week,7,,,,,,,0. None,,,44
252585,Female,12,1981,,,,,,,,,,,,,,,5. Masters,,,
252617,Female,5,1983,16,Divorced,2,0,50000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,4. Bachelors,,,47
252761,Female,6,1980,13,Never-married,5,0,29000,1 to 3 hours a week,3 to 10 hours a week,6,,,277,284,240,283,2. High School,,,52
252863,Male,4,1983,14,Never-married,,,30000,None,3 to 10 hours a week,5,,,281,291,290,245,2. High School,3. Probably not,1. Definitely,52
252883,Male,9,1982,12,Married,5,0,17000,10 hours or more a week,31 to 40 hours a week,5,,,,,,,2. High School,,,47
252967,Male,10,1980,,,,,,,,,,,,,,,0. None,,,
253033,Male,4,1984,18,Never-married,,,72000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,5. Masters,,,50
253071,Female,6,1984,,,,,,,,,,,,,,,0. None,,,
253150,Male,4,1982,,,,,,,,,,,235,278,168,195,2. High School,,,
253368,Female,4,1983,16,Never-married,,,25376,7 to 9 hours a week,3 to 10 hours a week,8,,,354,333,290,350,4. Bachelors,,,44
253373,Male,11,1983,19,Married,2,0,235884,10 hours or more a week,3 to 10 hours a week,5,,,337,350,298,294,7. Professional,,,52
253401,Female,8,1982,20,Married,3,0,94000,10 hours or more a week,3 to 10 hours a week,8,,,336,359,300,310,5. Masters,2. Probably ,2. Probably ,52
253579,Male,7,1980,20,Married,3,0,90000,10 hours or more a week,3 to 10 hours a week,6,470,390,269,287,240,240,6. PhD,,,50
253641,Male,12,1982,,,,,,,,,,,305,280,280,280,2. High School,,,
253684,Male,9,1982,14,Never-married,1,0,27000,10 hours or more a week,21 to 30 hours a week,7,,,,,,,3. Associates,,,52
253767,Female,8,1981,13,Never-married,1,0,16000,7 to 9 hours a week,11 to 20 hours a week,8,,,342,364,289,366,2. High School,,,52
253808,Female,2,1984,20,Married,1,0,50000,10 hours or more a week,11 to 20 hours a week,8,,,356,,248,300,4. Bachelors,,,24
253997,Male,3,1980,12,Divorced,,,55000,4 to 6 hours a week,11 to 20 hours a week,6,,,224,113,182,170,2. High School,,,52
254004,Female,1,1982,16,Divorced,3,0,40000,4 to 6 hours a week,3 to 10 hours a week,8,,,277,245,256,160,2. High School,,,52
254035,Male,1,1980,10,Separated,0,1,48000,Less than 1 hour a week,Less than 2 hours per week,6,,,,,,,0. None,,,52
254036,Male,8,1984,,,,,,,,,,,246,208,163,64,2. High School,,,
254111,Female,8,1980,12,Never-married,6,0,40000,10 hours or more a week,Less than 2 hours per week,6,,,204,168,190,200,2. High School,,,52
254187,Male,12,1981,,,,,,,,,,,,,,,2. High School,,,
254301,Female,1,1982,12,Divorced,,,32000,4 to 6 hours a week,21 to 30 hours a week,8,,,249,267,245,293,2. High School,,,47
254320,Female,6,1983,16,Divorced,,,60000,10 hours or more a week,31 to 40 hours a week,5,,,,,,,4. Bachelors,,,15
254419,Male,7,1984,10,Divorced,0,1,60000,10 hours or more a week,11 to 20 hours a week,6,,,301,288,285,280,1. GED,,,48
254533,Female,12,1980,,,,,,,,,,,,,,,2. High School,,,
254561,Male,4,1980,10,Never-married,,,50000,None,3 to 10 hours a week,7,,,,,,,1. GED,,,52
254683,Male,5,1984,18,Married,,,235884,10 hours or more a week,3 to 10 hours a week,7,450,570,383,388,373,383,5. Masters,,,48
254870,Female,3,1984,17,Never-married,,,49400,10 hours or more a week,3 to 10 hours a week,9,,,382,400,400,400,4. Bachelors,,,50
254961,Female,7,1983,,,,,,,,,,,,,,,2. High School,,,
255125,Male,9,1980,16,Married,1,0,53000,10 hours or more a week,11 to 20 hours a week,6,,,320,264,295,340,3. Associates,4. Definitely not,4. Definitely not,47
255138,Female,6,1982,20,Married,2,0,52000,10 hours or more a week,Less than 2 hours per week,7,,,293,220,227,280,6. PhD,,,52
255168,Male,8,1981,19,Married,1,0,113000,10 hours or more a week,Less than 2 hours per week,6,430,490,284,261,236,255,5. Masters,,,52
255196,Male,10,1984,16,Married,1,0,98000,7 to 9 hours a week,3 to 10 hours a week,6,,,,,,,4. Bachelors,3. Probably not,3. Probably not,0
255652,Male,7,1980,16,Married,3,0,60000,10 hours or more a week,3 to 10 hours a week,7,490,500,351,320,333,300,4. Bachelors,,,43
255694,Female,12,1980,,,,,,,,,,,299,270,296,312,2. High School,,,
255705,Male,3,1983,11,Divorced,1,0,30000,10 hours or more a week,3 to 10 hours a week,5,,,245,220,,,2. High School,,,52
255961,Female,1,1981,12,Never-married,1,0,,None,Less than 2 hours per week,8,,,192,190,145,160,2. High School,,,49
255993,Female,5,1980,12,Married,2,0,39000,10 hours or more a week,11 to 20 hours a week,5,,,313,249,195,375,2. High School,,,50
256214,Male,1,1980,16,Divorced,,,40000,10 hours or more a week,11 to 20 hours a week,5,,,211,145,193,160,4. Bachelors,2. Probably ,1. Definitely,52
256366,Male,11,1980,,,,,,,,,,,,,,,2. High School,,,
256533,Female,8,1980,14,Divorced,2,0,36000,10 hours or more a week,3 to 10 hours a week,9,420,380,240,223,180,227,3. Associates,,,52
256541,Male,6,1984,9,Married,2,0,24000,10 hours or more a week,3 to 10 hours a week,6,,,78,,70,70,1. GED,2. Probably ,1. Definitely,50
256689,Female,12,1981,14,Married,,,,10 hours or more a week,3 to 10 hours a week,7,,,294,299,142,218,2. High School,,,48
256927,Female,3,1982,8,Never-married,0,4,34000,None,21 to 30 hours a week,6,,,,,,,1. GED,,,52
257155,Female,2,1982,12,Married,2,0,28000,7 to 9 hours a week,3 to 10 hours a week,9,,,,,,,2. High School,3. Probably not,2. Probably ,49
257228,Female,4,1983,,,,,,,,,,,232,231,184,233,5. Masters,,,
257353,Male,2,1982,13,Never-married,0,1,10000,4 to 6 hours a week,3 to 10 hours a week,7,,,227,198,253,90,2. High School,2. Probably ,2. Probably ,52
257454,Female,2,1983,16,Married,1,0,40000,10 hours or more a week,3 to 10 hours a week,7,,,,,,,1. GED,,,52
257462,Male,12,1982,,,,,,,,,,,198,130,190,196,2. High School,,,
257559,Male,3,1984,,,,,,,,,,,,,,,0. None,,,
257606,Male,11,1981,18,Divorced,2,0,95000,10 hours or more a week,3 to 10 hours a week,6,,,303,268,313,295,5. Masters,,,49
257678,Male,10,1983,12,Never-married,0,1,30000,1 to 3 hours a week,3 to 10 hours a week,6,410,450,239,216,240,167,2. High School,,,52
257844,Female,11,1980,16,Married,2,0,107000,10 hours or more a week,3 to 10 hours a week,8,,,333,324,309,318,4. Bachelors,,,47
258003,Male,3,1983,16,Never-married,,,68000,7 to 9 hours a week,3 to 10 hours a week,7,,,,,,,4. Bachelors,,,52
258016,Female,12,1984,15,Married,1,0,45000,10 hours or more a week,Less than 2 hours per week,7,,,375,360,315,367,4. Bachelors,,,47
258167,Female,3,1983,,,,,,,,,,,,,,,0. None,,,
258377,Female,6,1982,14,Separated,2,0,95000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,3. Associates,,,52
258980,Male,11,1983,15,Never-married,,,101000,4 to 6 hours a week,11 to 20 hours a week,8,,,,,,,2. High School,,,52
259022,Female,3,1984,11,Never-married,2,0,,Less than 1 hour a week,21 to 30 hours a week,8,,,,,,,1. GED,,,0
259067,Female,7,1981,,,,,,,,,,,,,,,2. High School,,,
259093,Female,11,1981,10,Divorced,0,2,,None,31 to 40 hours a week,2,,,,,,,0. None,,,0
259272,Male,3,1984,17,Married,,,124000,10 hours or more a week,3 to 10 hours a week,7,730,660,348,349,325,351,4. Bachelors,,,52
259370,Female,3,1982,13,Married,1,0,,10 hours or more a week,3 to 10 hours a week,9,,,309,316,269,243,2. High School,,,0
259502,Female,8,1983,20,Married,1,0,127000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,6. PhD,,,52
259584,Male,8,1982,15,Never-married,,,40000,10 hours or more a week,3 to 10 hours a week,8,,,394,388,387,400,2. High School,,,52
259696,Female,12,1983,10,Married,4,0,,10 hours or more a week,3 to 10 hours a week,7,,,,,,,2. High School,,,0
259718,Male,7,1983,20,Married,1,0,235884,10 hours or more a week,11 to 20 hours a week,6,,,,,,,4. Bachelors,,,52
259996,Female,7,1984,12,Never-married,1,0,22000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,2. High School,2. Probably ,2. Probably ,52
260037,Male,4,1983,,,,,,,,,,,,,,,0. None,,,
260070,Female,5,1981,16,Married,,,60000,10 hours or more a week,11 to 20 hours a week,7,,,377,400,348,393,4. Bachelors,2. Probably ,1. Definitely,41
260078,Male,1,1982,19,Married,1,0,45000,10 hours or more a week,3 to 10 hours a week,7,,,293,312,258,283,4. Bachelors,,,39
260135,Male,3,1983,12,Never-married,0,2,20000,None,3 to 10 hours a week,0,,,,,,,1. GED,,,52
260303,Female,3,1982,14,Married,4,0,,7 to 9 hours a week,Less than 2 hours per week,7,,,,,,,2. High School,1. Definitely,1. Definitely,0
260351,Female,12,1981,12,Divorced,3,0,5000,None,Less than 2 hours per week,6,,,273,239,126,200,2. High School,3. Probably not,1. Definitely,3
260457,Male,7,1981,,,,,,,,,,,320,346,280,235,2. High School,,,
260516,Male,3,1981,16,Married,1,1,96500,10 hours or more a week,21 to 30 hours a week,6,,,,,,,4. Bachelors,,,49
260872,Male,7,1982,9,Never-married,0,1,90000,1 to 3 hours a week,Less than 2 hours per week,6,,,,,,,0. None,,,52
260875,Male,5,1984,16,Never-married,,,42000,10 hours or more a week,3 to 10 hours a week,7,,,327,295,240,327,4. Bachelors,3. Probably not,3. Probably not,49
260926,Male,2,1981,18,Married,2,0,65000,10 hours or more a week,Less than 2 hours per week,6,,,355,367,333,363,5. Masters,,,52
261342,Male,2,1982,,,,,,,,,,,,,,,1. GED,,,
261535,Female,10,1982,12,Never-married,2,0,8000,4 to 6 hours a week,3 to 10 hours a week,4,,,,,,,2. High School,4. Definitely not,1. Definitely,40
261583,Female,11,1981,14,Never-married,,,,4 to 6 hours a week,Less than 2 hours per week,6,,,326,323,285,300,2. High School,1. Definitely,1. Definitely,43
261601,Male,3,1981,,,,,,,,,,,253,185,157,190,2. High School,,,
261662,Female,2,1982,6,Married,0,3,40000,10 hours or more a week,Less than 2 hours per week,3,,,361,381,318,323,0. None,,,52
261801,Female,6,1984,16,Never-married,,,,1 to 3 hours a week,3 to 10 hours a week,8,,,,,,,3. Associates,,,0
261893,Male,2,1983,16,Never-married,1,0,43000,10 hours or more a week,11 to 20 hours a week,8,,,196,145,287,160,4. Bachelors,1. Definitely,1. Definitely,35
261982,Female,7,1982,,,,,,,,,,,193,,280,100,0. None,,,
262028,Female,11,1984,18,Never-married,,,96000,10 hours or more a week,11 to 20 hours a week,5,,,,,,,5. Masters,,,48
262147,Male,11,1982,20,Married,1,0,50000,10 hours or more a week,11 to 20 hours a week,7,,,,,,,5. Masters,,,52
262242,Female,7,1980,,,,,,,,,,,,,,,2. High School,,,
262259,Male,6,1982,,,,,,,,,,,252,235,257,225,1. GED,,,
262332,Male,8,1983,8,Never-married,1,5,5000,10 hours or more a week,3 to 10 hours a week,7,,,100,,100,,1. GED,,,52
262403,Female,1,1980,9,Married,,,20000,None,11 to 20 hours a week,6,,,190,150,300,100,1. GED,,,52
262563,Male,6,1984,,Never-married,0,3,12000,None,3 to 10 hours a week,8,,,285,,285,293,1. GED,,,48
262857,Male,5,1984,,,,,,,,,,,,,,,0. None,2. Probably ,2. Probably ,
262858,Male,1,1984,12,Never-married,2,0,60000,10 hours or more a week,Less than 2 hours per week,6,,,238,190,100,239,2. High School,,,52
262949,Female,5,1983,16,Married,,,60000,4 to 6 hours a week,3 to 10 hours a week,8,480,460,278,296,227,220,4. Bachelors,,,42
263036,Male,3,1983,16,Never-married,,,80000,10 hours or more a week,3 to 10 hours a week,8,,,,,,,4. Bachelors,,,49
263080,Female,3,1983,18,Never-married,,,62000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,4. Bachelors,,,50
263108,Female,3,1984,12,Never-married,,,,1 to 3 hours a week,3 to 10 hours a week,5,,,293,292,280,280,2. High School,,,52
263323,Female,11,1982,,,,,,,,,480,520,371,338,388,367,4. Bachelors,,,
263334,Female,8,1981,13,Married,3,0,26000,Less than 1 hour a week,3 to 10 hours a week,6,,,,,,,2. High School,,,48
263359,Female,11,1984,16,Never-married,2,0,,10 hours or more a week,Less than 2 hours per week,4,,,,,,,4. Bachelors,,,52
263634,Female,4,1981,12,Divorced,2,0,35000,10 hours or more a week,3 to 10 hours a week,8,,,321,287,257,327,2. High School,,,48
263649,Male,3,1983,15,Married,,,32000,10 hours or more a week,21 to 30 hours a week,6,600,380,296,288,274,300,2. High School,,,52
263716,Male,3,1982,11,Married,3,0,40000,1 to 3 hours a week,3 to 10 hours a week,6,,,,,,,1. GED,,,50
263717,Male,7,1982,16,Never-married,,,45000,10 hours or more a week,More than 40 hours a week,6,,,226,175,168,135,3. Associates,,,46
263881,Female,10,1981,,,,,,,,,,,,,,,0. None,,,
263998,Male,6,1982,11,Never-married,,,,None,3 to 10 hours a week,8,,,224,176,53,0,0. None,,,13
264212,Male,5,1981,,,,,,,,,,,,,,,1. GED,,,
264469,Male,7,1980,20,Married,2,0,235884,10 hours or more a week,3 to 10 hours a week,7,,,387,390,383,400,7. Professional,,,52
264521,Male,5,1983,13,Never-married,,,58000,10 hours or more a week,3 to 10 hours a week,7,,,,,,,2. High School,,,52
264602,Female,8,1983,12,Divorced,1,0,,None,3 to 10 hours a week,4,,,294,245,285,333,2. High School,3. Probably not,,0
264646,Male,4,1981,18,Married,2,0,100000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,5. Masters,3. Probably not,4. Definitely not,47
264661,Male,2,1984,10,Divorced,0,4,,None,3 to 10 hours a week,4,,,,,,,1. GED,1. Definitely,1. Definitely,0
264815,Male,7,1980,12,Never-married,0,1,30000,4 to 6 hours a week,Less than 2 hours per week,8,,,256,172,280,,2. High School,,,52
264816,Female,11,1984,,,,,,,,,,,298,286,280,290,0. None,,,
264968,Male,6,1980,,,,,,,,,,,290,295,287,249,4. Bachelors,,,
265217,Female,5,1982,,Married,4,0,14000,4 to 6 hours a week,3 to 10 hours a week,6,,,,,,,1. GED,,,52
265222,Male,6,1984,14,Married,2,0,70000,4 to 6 hours a week,3 to 10 hours a week,7,,,,,,,3. Associates,,,52
265289,Female,1,1980,11,Never-married,1,0,32000,10 hours or more a week,3 to 10 hours a week,7,,,183,136,190,235,2. High School,,,52
265487,Female,1,1983,9,Married,4,0,4000,10 hours or more a week,3 to 10 hours a week,8,,,,,,,1. GED,,,51
265728,Male,12,1981,18,Married,2,0,64000,10 hours or more a week,Less than 2 hours per week,6,,,208,145,100,136,2. High School,,,0
265870,Female,6,1980,16,Married,1,0,35000,10 hours or more a week,3 to 10 hours a week,5,,,268,218,206,240,4. Bachelors,1. Definitely,1. Definitely,52
265939,Female,8,1983,,,,,,,,,,,266,288,240,265,2. High School,,,
265991,Male,11,1984,9,Never-married,0,2,,10 hours or more a week,Less than 2 hours per week,6,,,,,,,0. None,2. Probably ,2. Probably ,0
266182,Female,11,1984,12,Never-married,3,0,,None,Less than 2 hours per week,6,,,280,283,316,288,2. High School,1. Definitely,1. Definitely,0
266418,Male,9,1982,,,,,,,,,520,610,287,313,290,293,2. High School,,,
266474,Female,6,1982,18,Married,,,120000,10 hours or more a week,3 to 10 hours a week,7,,,329,338,272,258,5. Masters,,,44
266776,Male,1,1984,,,,,,,,,,,305,329,176,284,4. Bachelors,,,
266976,Female,1,1981,,,,,,,,,,,201,145,100,160,1. GED,,,
267083,Female,9,1983,,,,,,,,,680,550,355,375,375,350,4. Bachelors,,,
267125,Female,2,1980,18,Divorced,2,0,40000,4 to 6 hours a week,3 to 10 hours a week,10,500,500,322,325,285,329,5. Masters,,,52
267135,Female,4,1982,16,Never-married,,,53000,10 hours or more a week,Less than 2 hours per week,7,460,400,238,250,223,225,4. Bachelors,,,52
267254,Female,10,1984,12,Never-married,,,100000,10 hours or more a week,Less than 2 hours per week,7,62,48,256,208,263,257,2. High School,,,52
267340,Male,11,1980,17,Married,1,0,80000,10 hours or more a week,21 to 30 hours a week,5,,,,,,,4. Bachelors,,,49
267463,Male,2,1984,14,Married,2,0,90000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,3. Associates,,,0
267505,Female,6,1983,,,,,,,,,,,,,,,2. High School,,,
267719,Female,7,1984,14,Never-married,3,0,26000,1 to 3 hours a week,3 to 10 hours a week,6,,,,,,,2. High School,,,52
267756,Female,12,1982,18,Never-married,,,50000,4 to 6 hours a week,3 to 10 hours a week,7,520,510,352,350,300,300,5. Masters,,,52
267833,Male,5,1981,8,Never-married,,,,None,Less than 2 hours per week,5,,,,,,,0. None,,,0
267863,Female,11,1983,8,,0,3,,None,3 to 10 hours a week,8,,,,,,,0. None,,,0
267918,Male,7,1981,8,Never-married,,,16000,10 hours or more a week,3 to 10 hours a week,5,,,202,100,280,,1. GED,,,52
268016,Female,11,1983,,,,,,,,,,,,,,,0. None,,,
268030,Male,6,1983,14,Never-married,,,80000,Less than 1 hour a week,Less than 2 hours per week,8,,,,,,,2. High School,,,52
268067,Male,2,1980,10,Never-married,0,1,25000,10 hours or more a week,3 to 10 hours a week,8,,,158,100,200,,1. GED,,,50
268089,Male,10,1981,,,,,,,,,,,221,100,220,167,2. High School,,,
268161,Female,8,1980,12,Never-married,1,0,,10 hours or more a week,3 to 10 hours a week,8,,,193,202,220,183,2. High School,,,0
268217,Male,9,1984,19,Married,,,235884,10 hours or more a week,11 to 20 hours a week,6,660,740,376,400,375,375,7. Professional,,,50
268637,Female,8,1983,,Divorced,3,2,24000,10 hours or more a week,3 to 10 hours a week,12,,,,,,,,,,46
268650,Female,1,1984,12,Married,2,0,,10 hours or more a week,Less than 2 hours per week,4,,,,,,,2. High School,,,0
268695,Female,4,1981,18,Married,3,0,62000,10 hours or more a week,3 to 10 hours a week,7,,,339,330,280,334,4. Bachelors,,,49
268728,Male,6,1984,9,Married,2,0,30000,4 to 6 hours a week,More than 40 hours a week,8,,,,,,,1. GED,3. Probably not,2. Probably ,52
268912,Male,1,1980,12,Never-married,0,1,20000,7 to 9 hours a week,More than 40 hours a week,6,,,,,,,2. High School,,,51
269149,Male,10,1984,12,Divorced,3,0,235884,10 hours or more a week,3 to 10 hours a week,6,,,302,273,233,314,2. High School,,,52
269278,Female,8,1982,,,,,,,,,,,,,,,4. Bachelors,3. Probably not,2. Probably ,
269426,Female,3,1980,13,Married,4,0,40000,1 to 3 hours a week,Less than 2 hours per week,5,,,314,356,303,325,2. High School,,,52
269467,Female,5,1981,,,,,,,,,,,,,,,2. High School,,,
269526,Female,11,1983,12,Never-married,1,0,30000,4 to 6 hours a week,3 to 10 hours a week,8,380,370,281,305,247,255,2. High School,,,46
269579,Male,10,1982,18,Married,2,0,40000,10 hours or more a week,3 to 10 hours a week,8,,,359,338,307,351,4. Bachelors,,,52
269655,Female,9,1981,14,Never-married,,,36000,10 hours or more a week,3 to 10 hours a week,8,390,420,351,300,371,280,2. High School,,,52
269780,Female,2,1980,18,Married,3,0,,10 hours or more a week,3 to 10 hours a week,6,,,288,323,223,247,4. Bachelors,,,14
269820,Female,12,1984,,,,,,,,,,,,,,,2. High School,,,
270102,Female,6,1981,,,,,,,,,590,400,390,400,383,383,4. Bachelors,,,
270117,Male,6,1981,18,Never-married,1,0,25000,1 to 3 hours a week,21 to 30 hours a week,7,,,304,284,297,285,4. Bachelors,,,48
270132,Female,11,1983,20,Married,,,80000,10 hours or more a week,Less than 2 hours per week,8,,,,,,,5. Masters,3. Probably not,1. Definitely,52
270138,Male,1,1982,,,,,,,,,,,,,,,4. Bachelors,,,
270191,Female,12,1982,19,Divorced,2,0,140000,10 hours or more a week,3 to 10 hours a week,8,,,321,350,320,345,5. Masters,,,52
270368,Female,9,1982,8,Divorced,2,0,25000,10 hours or more a week,3 to 10 hours a week,7,,,,,,,1. GED,,,45
270422,Female,7,1982,,,,,,,,,,,,,,,3. Associates,2. Probably ,2. Probably ,
270503,Male,3,1983,12,Never-married,,,15000,1 to 3 hours a week,More than 40 hours a week,8,,,378,362,368,335,2. High School,,,52
270613,Male,6,1982,12,Divorced,2,0,48000,10 hours or more a week,3 to 10 hours a week,6,,,276,85,195,280,2. High School,,,52
270684,Female,8,1980,12,Divorced,3,0,11000,10 hours or more a week,3 to 10 hours a week,7,,,327,325,292,280,2. High School,,,42
270723,Male,11,1980,14,Never-married,1,0,28000,1 to 3 hours a week,21 to 30 hours a week,6,,,,,,,3. Associates,4. Definitely not,2. Probably ,45
270790,Female,9,1984,12,Never-married,0,1,,None,21 to 30 hours a week,4,,,246,317,275,245,2. High School,,,0
270840,Male,10,1980,12,Married,2,0,120000,10 hours or more a week,3 to 10 hours a week,7,,,274,295,227,300,2. High School,,,49
270860,Male,12,1984,14,Never-married,1,0,38000,4 to 6 hours a week,3 to 10 hours a week,8,,,260,215,190,190,2. High School,,,24
270923,Male,6,1980,16,Married,1,1,,None,3 to 10 hours a week,7,,,259,212,215,235,3. Associates,,,47
271172,Male,12,1981,10,Married,0,2,5000,1 to 3 hours a week,Less than 2 hours per week,6,,,253,335,273,300,1. GED,,,50
271269,Female,6,1984,,,,,,,,,,,231,231,280,240,2. High School,,,
271384,Male,4,1983,16,Never-married,,,50000,10 hours or more a week,11 to 20 hours a week,8,,,365,347,320,380,4. Bachelors,1. Definitely,1. Definitely,50
271391,Female,11,1982,17,Never-married,,,55500,1 to 3 hours a week,3 to 10 hours a week,8,,,,,,,4. Bachelors,,,47
271429,Female,3,1983,15,,,,,1 to 3 hours a week,3 to 10 hours a week,6,,,,,,,2. High School,,,47
271860,Male,7,1982,9,Married,0,2,,None,3 to 10 hours a week,8,,,,,,,0. None,1. Definitely,1. Definitely,52
271961,Male,2,1980,16,Married,3,0,62000,10 hours or more a week,3 to 10 hours a week,8,620,610,400,400,390,409,4. Bachelors,,,41
272013,Male,4,1983,14,Never-married,,,63000,10 hours or more a week,3 to 10 hours a week,7,510,540,249,195,246,200,2. High School,,,52
272026,Male,7,1984,,,,,,,,,,,267,289,283,290,2. High School,,,
272058,Male,4,1980,8,Never-married,0,4,,None,Less than 2 hours per week,8,,,280,280,280,280,0. None,1. Definitely,1. Definitely,0
272067,Female,12,1984,13,Never-married,3,0,8000,10 hours or more a week,3 to 10 hours a week,6,,,212,280,100,,1. GED,,,52
272072,Male,12,1981,14,Never-married,,,105000,10 hours or more a week,3 to 10 hours a week,7,,,287,312,278,227,2. High School,,,52
272116,Female,9,1982,17,Never-married,,,50000,10 hours or more a week,3 to 10 hours a week,6,370,420,343,310,331,297,5. Masters,,,52
272233,Male,9,1983,12,Never-married,,,,None,Less than 2 hours per week,10,,,246,193,220,160,2. High School,,,0
272240,Male,2,1981,20,Married,3,0,42000,10 hours or more a week,Less than 2 hours per week,7,,,,,,,6. PhD,,,52
272241,Female,1,1984,12,Divorced,3,0,,4 to 6 hours a week,More than 40 hours a week,6,,,,,,,2. High School,1. Definitely,1. Definitely,0
272277,Male,2,1981,16,Married,1,0,72000,10 hours or more a week,3 to 10 hours a week,6,,,304,334,248,294,4. Bachelors,,,46
272322,Female,1,1981,12,Married,5,0,500,1 to 3 hours a week,3 to 10 hours a week,3,,,325,320,340,360,2. High School,,,9
272591,Female,6,1983,20,Never-married,,,75000,10 hours or more a week,3 to 10 hours a week,7,540,430,309,340,240,237,7. Professional,,,52
272655,Female,10,1981,,,,,,,,,,,353,290,338,335,2. High School,,,
272671,Male,10,1981,12,Married,1,0,65000,Less than 1 hour a week,Less than 2 hours per week,6,,,334,282,333,333,2. High School,,,51
272686,Female,11,1981,14,Never-married,,,67000,10 hours or more a week,3 to 10 hours a week,8,,,322,354,230,237,3. Associates,3. Probably not,2. Probably ,52
272702,Male,10,1981,13,Married,3,0,94000,10 hours or more a week,Less than 2 hours per week,6,,,242,263,195,183,2. High School,,,52
272971,Female,8,1981,18,Married,3,0,,10 hours or more a week,Less than 2 hours per week,7,600,470,294,299,218,243,5. Masters,,,0
273006,Male,2,1982,14,Separated,1,2,25000,1 to 3 hours a week,11 to 20 hours a week,8,,,242,250,218,160,2. High School,,,50
273009,Female,6,1983,,,,,,,,,510,580,352,320,325,350,2. High School,,,
273073,Male,1,1984,11,Never-married,3,0,80000,1 to 3 hours a week,3 to 10 hours a week,5,,,,,,,1. GED,,,52
273218,Male,12,1980,16,Married,1,0,140000,10 hours or more a week,11 to 20 hours a week,7,400,430,225,145,235,160,4. Bachelors,,,52
273235,Female,7,1982,16,Married,3,0,60000,10 hours or more a week,11 to 20 hours a week,7,,,,,,,4. Bachelors,,,49
273238,Male,1,1981,,,,,,,,,,,246,263,283,100,2. High School,,,
273246,Male,8,1984,14,Married,,,27000,4 to 6 hours a week,3 to 10 hours a week,8,,,296,230,244,280,2. High School,2. Probably ,1. Definitely,50
273376,Male,7,1984,16,Never-married,,,24000,10 hours or more a week,3 to 10 hours a week,8,,,251,177,265,222,4. Bachelors,,,48
273512,Male,8,1982,14,,1,0,59000,1 to 3 hours a week,3 to 10 hours a week,5,430,360,220,215,239,227,3. Associates,,,51
273560,Female,9,1982,18,Never-married,,,50000,10 hours or more a week,3 to 10 hours a week,7,620,470,325,371,303,319,5. Masters,,,49
273637,Male,11,1984,,,,,,,,,,,255,234,100,293,2. High School,,,
273678,Female,5,1982,16,Married,3,0,32000,10 hours or more a week,3 to 10 hours a week,7,630,470,313,323,257,293,4. Bachelors,,,52
273854,Male,9,1982,8,Never-married,0,1,,None,Less than 2 hours per week,5,,,,,,,0. None,,,1
273879,Male,8,1984,,,,,,,,,,,250,200,,,0. None,,,
273914,Female,8,1984,9,Never-married,1,0,,1 to 3 hours a week,11 to 20 hours a week,5,,,287,290,280,300,0. None,,,0
274042,Male,6,1980,18,Married,0,1,96000,10 hours or more a week,11 to 20 hours a week,6,350,420,223,145,220,190,5. Masters,,,0
274183,Male,10,1983,15,Never-married,,,,10 hours or more a week,Less than 2 hours per week,7,,,282,300,195,253,3. Associates,,,0
274268,Female,9,1982,12,Never-married,3,0,,4 to 6 hours a week,3 to 10 hours a week,9,,,,,,,2. High School,2. Probably ,1. Definitely,18
274325,Female,12,1981,20,Married,2,0,69000,4 to 6 hours a week,3 to 10 hours a week,7,,,,,,,5. Masters,,,52
274485,Female,12,1980,10,Never-married,5,1,,10 hours or more a week,3 to 10 hours a week,6,,,,,,,0. None,,,24
274596,Male,5,1984,16,Married,2,0,97000,10 hours or more a week,3 to 10 hours a week,6,500,590,323,313,350,300,4. Bachelors,4. Definitely not,3. Probably not,52
274607,Male,5,1981,13,Married,2,0,48000,10 hours or more a week,3 to 10 hours a week,7,,,312,285,300,285,2. High School,,,52
274695,Male,9,1984,18,Never-married,,,,7 to 9 hours a week,3 to 10 hours a week,7,430,520,277,232,273,240,5. Masters,,,52
274702,Female,1,1981,19,Never-married,,,30000,10 hours or more a week,3 to 10 hours a week,6,700,760,383,400,350,350,7. Professional,,,52
274705,Female,9,1984,,,,,,,,,,,,,,,2. High School,,,
274843,Female,4,1980,,,,,,,,,,,248,335,200,265,4. Bachelors,,,
274869,Male,4,1983,,,,,,,,,,,303,295,227,293,2. High School,,,
274947,Male,4,1982,15,Married,,,90000,10 hours or more a week,21 to 30 hours a week,7,,,217,214,206,190,2. High School,,,52
275123,Male,9,1983,,,,,,,,,,,336,277,318,313,3. Associates,,,
